GS:  14 [1, 1, 0, 1, 0, 1, 1, 0, 1, 870] 0.6666666666666666 0.0012981891632080078
DS:  51 [1, 0, 0, 1, 1, 1, 1, 0, 1, 1110] 0.6666666666666666 0.00018715858459472656
GS:  0 [1, 1, 1, 0, 1, 0, 1, 1, 0, 2190] 0.5773502691896257 0.0032308101654052734
DS:  125 [1, 1, 0, 1, 1, 1, 1, 1, 0, 990] 0.5773502691896257 0.0004825592041015625
GS:  0 [1, 1, 1, 0, 0, 0, 1, 0, 0, 1830] 0.5773502691896257 0.004551410675048828
DS:  124 [1, 1, 1, 0, 1, 0, 1, 1, 0, 2190] 0.5773502691896257 0.0006365776062011719
GS:  17 [1, 1, 0, 0, 0, 0, 1, 0, 0, 900] 0.5773502691896257 0.0040130615234375
DS:  21 [1, 1, 1, 1, 0, 1, 0, 1, 0, 1890] 0.5773502691896257 0.00046563148498535156
GS:  16 [1, 1, 0, 0, 0, 0, 1, 0, 0, 900] 0.5773502691896257 0.0059888362884521484
DS:  105 [1, 1, 1, 1, 0, 1, 1, 0, 1, 1470] 0.5773502691896257 0.0008957386016845703
GS:  15 [1, 1, 0, 0, 0, 0, 1, 0, 0, 900] 0.5773502691896257 0.006314277648925781
DS:  97 [1, 0, 1, 0, 1, 0, 1, 0, 1, 1110] 0.5773502691896257 0.0005869865417480469
GS:  14 [1, 1, 0, 0, 0, 0, 1, 0, 0, 900] 0.5773502691896257 0.007251262664794922
DS:  75 [1, 0, 0, 0, 1, 0, 0, 1, 0, 1410] 0.5773502691896257 0.0008637905120849609
GS:  13 [1, 1, 0, 0, 0, 0, 1, 0, 0, 900] 0.5773502691896257 0.005342721939086914
DS:  9 [1, 1, 1, 0, 0, 0, 1, 0, 0, 1830] 0.4714045207910317 0.000518798828125
GS:  13 [1, 0, 0, 1, 0, 0, 0, 0, 1, 1200] 0.5773502691896257 0.0062296390533447266
DS:  34 [1, 0, 0, 0, 0, 0, 1, 0, 1, 1080] 0.4714045207910317 0.0005197525024414062
GS:  18 [1, 1, 0, 1, 1, 1, 1, 1, 0, 990] 0.6666666666666666 0.0016634464263916016
DS:  48 [1, 1, 1, 0, 1, 0, 1, 1, 0, 2190] 0.6666666666666666 0.000202178955078125
GS:  18 [1, 0, 1, 0, 0, 0, 1, 0, 1, 1350] 0.6666666666666666 0.0037178993225097656
DS:  18 [1, 0, 1, 0, 0, 0, 1, 0, 1, 1350] 0.6666666666666666 0.000591278076171875
GS:  94 [1, 1, 0, 0, 1, 1, 1, 0, 1, 900] 0.6666666666666666 0.004496097564697266
DS:  140 [1, 1, 0, 1, 0, 1, 0, 1, 0, 990] 0.5773502691896257 0.0005238056182861328
GS:  93 [1, 1, 0, 0, 1, 1, 1, 0, 1, 900] 0.6666666666666666 0.0030984878540039062
DS:  117 [1, 1, 1, 0, 1, 0, 0, 0, 1, 1320] 0.5773502691896257 0.0005824565887451172
GS:  3 [1, 1, 1, 1, 0, 0, 1, 0, 0, 2010] 0.5773502691896257 0.005568981170654297
DS:  64 [1, 0, 0, 0, 1, 1, 1, 1, 0, 1230] 0.5773502691896257 0.0003504753112792969
GS:  2 [1, 1, 1, 1, 0, 0, 1, 0, 0, 2010] 0.5773502691896257 0.0047740936279296875
DS:  30 [1, 1, 0, 1, 1, 1, 1, 0, 1, 870] 0.5773502691896257 0.0009300708770751953
GS:  1 [1, 1, 1, 1, 0, 0, 1, 0, 0, 2010] 0.5773502691896257 0.0047953128814697266
DS:  109 [1, 1, 1, 0, 0, 1, 1, 0, 1, 1140] 0.4714045207910317 0.0006012916564941406
GS:  0 [1, 1, 1, 1, 0, 0, 1, 0, 0, 2010] 0.5773502691896257 0.006373882293701172
DS:  0 [1, 1, 1, 1, 0, 0, 1, 0, 0, 2010] 0.5773502691896257 0.0006866455078125
