"non,asIs",0.27
"RS,asIs",8.62
"RS,mid-leaf",9.41
"RS,RR",11.41
"RS,LR",11.45
"RS,LSR",11.55
"RS,SVR",11.62
"RS,LGBM",12.6
"RS,k1",19.47
"RS,k3",20.43
"RS,k5",21.48
"non,mid-leaf",65.1
"non,RR",68.34
"non,LR",68.43
"non,LSR",68.92
"non,k1",77.93
"non,k3",78.9
"non,k5",79.98
"non,LGBM",108.23
"non,SVR",129.66
"GS,asIs",872.32
"GS,mid-leaf",873.12
"GS,RR",875.08
"GS,LR",875.14
"GS,LSR",875.23
"GS,SVR",875.31
"GS,LGBM",876.58
"GS,k1",882.27
"GS,k3",883.24
"GS,k5",884.28
