Sampling, Regressor,rank0,count0,rank1,count1,rank2,count2
kmeans,k1,rank0,36,rank1,1,rank2,0
non,LGBM,rank0,36,rank1,1,rank2,0
kmeans,k3,rank0,35,rank1,1,rank2,1
DS,k1,rank0,34,rank1,3,rank2,0
RS,SVR,rank0,34,rank1,3,rank2,0
non,SVR,rank0,34,rank1,3,rank2,0
kmeans,k5,rank0,33,rank1,3,rank2,1
non,RR,rank0,33,rank1,4,rank2,0
DS,k3,rank0,32,rank1,4,rank2,1
RS,k1,rank0,32,rank1,4,rank2,1
RS,LR,rank0,31,rank1,5,rank2,1
RS,RR,rank0,31,rank1,5,rank2,1
non,LR,rank0,31,rank1,6,rank2,0
non,LSR,rank0,31,rank1,6,rank2,0
DS,SVR,rank0,30,rank1,5,rank2,0
RS,LSR,rank0,30,rank1,6,rank2,1
DS,k5,rank0,29,rank1,6,rank2,2
RS,k3,rank0,29,rank1,6,rank2,2
RS,k5,rank0,28,rank1,7,rank2,2
non,k1,rank0,27,rank1,7,rank2,3
non,k3,rank0,26,rank1,7,rank2,2
DS,LGBM,rank0,25,rank1,9,rank2,3
RS,mid-leaf,rank0,25,rank1,9,rank2,3
non,asIs,rank0,25,rank1,9,rank2,2
non,k5,rank0,25,rank1,8,rank2,1
DS,LR,rank0,24,rank1,11,rank2,1
DS,LSR,rank0,24,rank1,11,rank2,1
DS,RR,rank0,24,rank1,11,rank2,1
RS,LGBM,rank0,23,rank1,11,rank2,3
DS,mid-leaf,rank0,21,rank1,12,rank2,3
RS,asIs,rank0,21,rank1,10,rank2,3
non,mid-leaf,rank0,21,rank1,11,rank2,2
DS,asIs,rank0,18,rank1,15,rank2,2
