#
 0,                  mid-leaf, -2.69,  2.97,          *          |                   
#
 1,                        k5, -2.03,  3.37,   ---       *       |                   
 1,                        k3, -1.95,  3.46,   ---       *       |                   
 1,                        k1, -1.92,  3.26,   ----      *       |                   
#
 2,                      asIs, -0.35,  0.18,                     *--------           
#
 3,                      LGBM, -0.00,  0.01,                     |*                  
 3,                        LR,  0.01,  0.23,                     |*-                 
