#
 0,                  smart,50,  0.25,  0.20,   *                 |                   
 0,                  smart,40,  0.26,  0.18,    *                |                   
 0,                  smart,30,  0.32,  0.15, --    *             |                   
 0,                   dumb,40,  0.32,  0.17, -     *             |                   
#
 1,                   dumb,30,  0.40,  0.14, ---       *         |                   
 1,                   dumb,20,  0.40,  0.00,   --------*         |                   
 1,                  smart,20,  0.40,  0.08,  -----    *         |                   
 1,                   dumb,50,  0.40,  0.08,  -----    *         |                   
#
 2,                 asIs,1599,  0.60,  0.20,                     *                   
