#
 0,                  smart,50,  0.13,  0.02,    --*-             |                   
#
 1,                  smart,30,  0.14,  0.03,  ----*--            |                   
 1,                  smart,40,  0.14,  0.03, ----- *             |                   
 1,                   dumb,40,  0.15,  0.02,       *--           |                   
 1,                   dumb,50,  0.15,  0.06,   --- *-            |                   
 1,                  smart,20,  0.16,  0.03,      -*---          |                   
 1,                   dumb,30,  0.16,  0.06,       * -           |                   
 1,                   dumb,20,  0.16,  0.04,    --- *--          |                   
#
 2,                 asIs,4653,  0.48,  0.13,                ---  *  ----------       
