#
 0,                  smart,50,  0.12,  0.04,     *---            |                   
 0,                  smart,40,  0.13,  0.04,   -- *-             |                   
 0,                  smart,30,  0.13,  0.04,    - *--            |                   
#
 1,                   dumb,40,  0.15,  0.04,      *----          |                   
 1,                   dumb,50,  0.15,  0.05,    -  *-            |                   
 1,                   dumb,30,  0.15,  0.07,    -- * -           |                   
#
 2,                  smart,20,  0.19,  0.11,    --  * ----       |                   
 2,                   dumb,20,  0.20,  0.09,     -   *-          |                   
#
 3,                asIs,20000,  0.50,  0.18,           ------    *  -----            
