name,"""non-asIs""","""kmeans-1-k1""","""kmeans-5-k1""","""kmeans-3-k1""","""kmeans-5-k3""","""kmeans-3-k3""","""kmeans-5-k5"""
Apache_AllMeasurements.csv,0.12,2.31,3.14,3.16,3.38,3.4,3.57
auto93.csv,0.41,10.57,12.67,12.73,13.34,13.4,13.91
healthCloseIsses12mths0001-hard.csv,8.16,36.9,34.6,35.73,55.58,56.91,72.07
healthCloseIsses12mths0011-easy.csv,11.2,50.1,47.25,48.47,76.1,77.62,99.09
HSMGP_num.csv,1.9,31.16,34.64,34.92,46.63,46.96,56.36
nasa93dem.csv,0.25,4.71,6.52,6.55,6.79,6.82,7.01
pom3a.csv,15.41,78.05,73.31,74.85,139.8,141.4,193.41
pom3b.csv,15.25,76.3,71.65,73.09,136.23,137.83,188.33
pom3c.csv,14.64,75.29,70.5,71.93,134.53,136.14,186.24
pom3d.csv,0.5,20.94,25.26,25.37,26.88,26.98,28.19
rs-6d-c3_obj1.csv,1.99,26.95,29.34,29.62,40.44,40.78,49.42
rs-6d-c3_obj2.csv,1.8,22.88,24.89,25.15,34.32,34.65,41.92
sol-6d-c2-obj1.csv,1.22,19.17,21.35,21.59,27.76,28.02,32.95
SQL_AllMeasurements.csv,2.35,47.69,52.07,52.46,75.51,75.85,94.52
SS-A.csv,1.1,13.97,15.69,15.81,18.21,18.34,20.29
SS-B.csv,0.17,2.5,3.24,3.28,3.52,3.56,3.75
SS-C.csv,1.18,13.67,15.17,15.31,17.82,18.0,20.03
SS-D.csv,0.18,2.73,3.59,3.59,3.89,3.89,4.13
SS-E.csv,0.52,10.32,11.96,12.0,13.14,13.17,14.05
SS-F.csv,0.18,2.7,3.55,3.58,3.84,3.88,4.08
SS-G.csv,0.16,2.54,3.32,3.33,3.59,3.61,3.81
SS-H.csv,0.23,11.14,13.5,13.52,13.97,13.98,14.34
SS-I.csv,0.79,16.74,19.57,19.65,22.11,22.29,24.17
SS-J.csv,2.47,26.8,28.66,29.14,39.47,40.14,48.25
SS-K.csv,2.41,29.03,31.79,32.13,41.38,41.83,49.18
SS-L.csv,0.99,36.09,43.12,43.2,48.49,48.56,52.78
SS-M.csv,0.79,15.64,18.33,18.47,20.28,20.42,21.88
SS-N.csv,36.61,283.36,257.39,262.16,630.48,638.98,930.18
SS-O.csv,0.71,17.83,20.99,21.1,23.49,23.62,25.51
SS-P.csv,0.84,13.51,15.71,15.81,17.65,17.74,19.21
SS-Q.csv,2.28,25.42,28.22,28.49,36.36,36.7,42.88
SS-R.csv,2.41,31.52,34.81,35.22,45.58,46.09,54.28
SS-S.csv,3.19,33.02,35.45,36.02,48.83,49.58,59.6
SS-T.csv,3.28,28.52,29.74,30.18,43.24,43.76,54.11
SS-U.csv,3.37,33.18,35.38,35.76,50.28,50.75,62.35
SS-V.csv,4.09,30.6,30.5,31.35,46.92,47.9,60.3
SS-W.csv,36.29,150.41,123.39,129.13,260.35,266.63,372.53
SS-X.csv,50.94,177.97,141.05,148.74,282.51,291.12,399.22
wc+rs-3d-c4-obj1.csv,0.13,2.65,3.51,3.53,3.79,3.81,4.01
wc+sol-3d-c4-obj1.csv,0.14,2.81,3.72,3.72,4.02,4.02,4.26
wc+wc-3d-c4-obj1.csv,0.15,2.98,3.99,3.98,4.31,4.3,4.57
wc-6d-c1-obj1.csv,1.26,21.1,23.37,23.63,30.34,30.66,36.14
Wine_quality.csv,1.53,37.96,43.68,43.63,52.13,52.16,58.86
X264_AllMeasurements.csv,0.55,14.89,17.5,17.55,19.84,19.88,21.78
xomo_flight.csv,10.72,104.36,110.54,110.64,191.34,192.1,257.05
xomo_ground.csv,9.7,97.78,102.89,103.65,179.53,180.82,241.76
xomo_osp.csv,9.88,95.47,100.35,101.21,175.22,176.19,235.65
xomo_osp2.csv,13.28,127.18,133.73,134.6,234.41,235.34,315.38
