Sampling, Regressor,rank0,count0,rank1,count1,rank2,count2
kmeans-3,k1,rank0,44,rank1,4,rank2,0
kmeans-3,k3,rank0,44,rank1,4,rank2,0
kmeans-5,k3,rank0,44,rank1,4,rank2,0
kmeans-1,k1,rank0,43,rank1,5,rank2,0
kmeans-5,k1,rank0,43,rank1,5,rank2,0
kmeans-5,k5,rank0,41,rank1,7,rank2,0
non,asIs,rank0,24,rank1,15,rank2,9
