Sampling, Regressor,rank0,count0,rank1,count1,rank2,count2,rank3,count3,rank4,count4,rank5,count5,rank6,count6,rank7,count7
DS,LGBM,rank0,30,rank1,2,rank2,3,rank3,1,rank4,2,rank5,0,rank6,0,rank7,0
non,LGBM,rank0,30,rank1,2,rank2,3,rank3,2,rank4,1,rank5,0,rank6,0,rank7,0
RS,LGBM,rank0,29,rank1,3,rank2,2,rank3,4,rank4,0,rank5,0,rank6,0,rank7,0
DS,SVR,rank0,26,rank1,4,rank2,2,rank3,3,rank4,1,rank5,1,rank6,0,rank7,0
RS,SVR,rank0,26,rank1,5,rank2,1,rank3,3,rank4,1,rank5,0,rank6,1,rank7,0
non,SVR,rank0,26,rank1,4,rank2,2,rank3,3,rank4,1,rank5,0,rank6,1,rank7,1
DS,LR,rank0,23,rank1,7,rank2,2,rank3,2,rank4,1,rank5,2,rank6,0,rank7,0
DS,LSR,rank0,23,rank1,4,rank2,6,rank3,1,rank4,1,rank5,1,rank6,1,rank7,0
DS,RR,rank0,23,rank1,7,rank2,3,rank3,1,rank4,1,rank5,2,rank6,0,rank7,1
RS,LR,rank0,23,rank1,7,rank2,2,rank3,2,rank4,2,rank5,0,rank6,1,rank7,0
RS,LSR,rank0,23,rank1,5,rank2,4,rank3,2,rank4,1,rank5,2,rank6,0,rank7,0
RS,RR,rank0,23,rank1,7,rank2,2,rank3,2,rank4,1,rank5,2,rank6,0,rank7,0
non,LR,rank0,23,rank1,7,rank2,2,rank3,2,rank4,1,rank5,2,rank6,0,rank7,0
non,LSR,rank0,23,rank1,5,rank2,4,rank3,2,rank4,1,rank5,1,rank6,1,rank7,0
non,RR,rank0,23,rank1,7,rank2,2,rank3,2,rank4,2,rank5,1,rank6,0,rank7,0
DS,asIs,rank0,10,rank1,15,rank2,8,rank3,4,rank4,1,rank5,0,rank6,0,rank7,0
RS,asIs,rank0,10,rank1,16,rank2,8,rank3,4,rank4,0,rank5,0,rank6,0,rank7,0
kmeans-5,k5,rank0,10,rank1,17,rank2,9,rank3,1,rank4,1,rank5,0,rank6,0,rank7,0
non,asIs,rank0,10,rank1,15,rank2,9,rank3,4,rank4,0,rank5,0,rank6,0,rank7,0
kmeans-3,k3,rank0,9,rank1,14,rank2,11,rank3,4,rank4,0,rank5,0,rank6,0,rank7,0
kmeans-5,k3,rank0,9,rank1,15,rank2,9,rank3,5,rank4,0,rank5,0,rank6,0,rank7,0
kmeans-3,k1,rank0,6,rank1,12,rank2,10,rank3,8,rank4,2,rank5,0,rank6,0,rank7,0
kmeans-1,k1,rank0,5,rank1,9,rank2,15,rank3,5,rank4,4,rank5,0,rank6,0,rank7,0
kmeans-5,k1,rank0,5,rank1,11,rank2,12,rank3,7,rank4,3,rank5,0,rank6,0,rank7,0
