name,"""non-asIs""","""non-LR""","""non-LSR""","""non-RR""","""RS-asIs""","""RS-SVR""","""non-SVR""","""RS-LR""","""RS-LSR""","""RS-RR""","""DS-asIs""","""DS-LR""","""DS-LSR""","""DS-RR""","""DS-SVR""","""RS-LGBM""","""DS-LGBM""","""kmeans-1-k1""","""DS2-asIs""","""kmeans-3-k1""","""kmeans-3-k3""","""kmeans-5-k1""","""DS2-LR""","""DS2-LSR""","""DS2-RR""","""DS2-SVR""","""kmeans-5-k3""","""DS2-LGBM""","""kmeans-5-k5""","""non-LGBM"""
SS-Q.csv,0.26,0.33,1.37,0.28,1.73,1.8,81.79,1.69,1.79,1.71,4.79,4.75,4.83,4.77,4.87,2.09,5.14,3.27,9.46,3.83,4.25,4.13,9.42,9.52,9.45,9.52,4.54,9.82,4.87,5.12
SS-R.csv,0.49,0.59,2.02,0.27,3.32,3.23,36.77,3.09,3.2,3.1,11.97,11.67,11.8,11.68,11.85,59.97,43.21,7.89,22.48,9.43,10.48,9.93,22.21,22.34,22.22,22.37,10.98,38.01,11.83,64.97
SS-S.csv,0.28,0.2,0.2,0.19,4.9,4.98,41.58,4.79,4.8,4.79,13.97,13.86,13.87,13.86,14.05,12.66,29.52,8.72,26.46,10.14,11.42,10.91,26.37,26.36,26.36,26.54,12.16,49.27,13.19,64.13
SS-T.csv,0.69,0.63,2.97,0.27,3.66,3.6,463.73,3.41,3.49,3.43,8.78,8.53,8.62,8.54,8.72,4.0,8.83,5.01,17.08,5.78,6.5,6.22,16.83,16.92,16.84,17.02,6.94,17.12,7.51,374.85
SS-U.csv,0.9,8.79,0.61,0.38,7.17,6.7,973.54,6.34,6.37,6.35,17.74,16.83,16.86,16.84,17.2,61.89,63.9,8.49,32.53,10.04,11.22,10.8,31.75,31.79,31.77,32.07,12.02,89.25,12.97,324.08
SS-V.csv,0.76,0.49,1.01,0.26,5.23,4.98,856.5,4.72,4.75,4.71,10.68,10.15,10.17,10.15,10.42,5.09,10.52,6.08,20.72,7.01,7.9,7.57,20.18,20.2,20.18,20.45,8.45,20.62,9.17,4.37
wc+rs-3d-c4-obj1.csv,0.01,0.06,0.05,0.05,0.06,0.08,0.08,0.1,0.09,0.09,0.19,0.23,0.22,0.23,0.23,0.12,0.27,0.2,0.36,0.25,0.26,0.25,0.4,0.4,0.4,0.39,0.27,0.43,0.28,0.54
wc+sol-3d-c4-obj1.csv,0.01,0.06,0.06,0.05,0.06,0.09,0.08,0.1,0.1,0.09,0.19,0.22,0.22,0.22,0.22,0.12,0.27,0.17,0.36,0.22,0.23,0.23,0.4,0.39,0.39,0.39,0.24,0.42,0.25,0.41
wc+wc-3d-c4-obj1.csv,0.01,0.06,0.06,0.05,0.06,0.09,0.08,0.1,0.1,0.09,0.19,0.22,0.22,0.22,0.22,0.12,0.25,0.18,0.35,0.24,0.25,0.24,0.39,0.39,0.39,0.39,0.25,0.42,0.27,0.37
wc-6d-c1-obj1.csv,0.08,0.07,0.06,0.06,1.4,1.4,7.2,1.38,1.38,1.38,4.21,4.19,4.19,4.19,4.21,1.48,4.3,2.89,8.32,3.32,3.7,3.51,8.3,8.3,8.29,8.32,3.88,8.41,4.2,48.28
Wine_quality.csv,0.12,0.2,0.19,0.18,1.62,1.73,27.24,1.68,1.69,1.68,5.21,5.27,5.27,5.27,5.31,18.99,30.94,3.98,10.14,4.68,5.13,4.79,10.2,10.2,10.19,10.22,5.23,35.52,5.58,430.78
X264_AllMeasurements.csv,0.1,0.1,0.18,0.11,0.53,0.5,13.79,0.49,0.5,0.49,1.43,1.39,1.4,1.39,1.4,0.51,1.41,1.38,2.76,1.63,1.75,1.7,2.73,2.73,2.72,2.73,1.82,2.74,1.92,1.29
