 ++ Standard Residual without abs:
#
 0,               kmeans-5,k1,  0.00,  0.63,       ----------  *-|------             
 0,                  non,LGBM, -0.00,  0.02,                   * |                   
 0,                    DS,SVR,  0.00,  0.06,                 --*-|                   
 0,                    RS,SVR,  0.00,  0.05,                 --*-|                   
 0,                   non,SVR,  0.00,  0.06,                ---*-|                   
 0,                   RS,LGBM, -0.00,  0.01,                   * |                   
 0,                   DS,LGBM, -0.00,  0.02,                   * |                   
 0,                    non,LR, -0.00,  0.11,                 --*-|                   
 0,               kmeans-1,k1, -0.00,  0.61,      -----------  *-|------             
 0,                     DS,LR, -0.00,  0.12,                 --*-|                   
 0,               kmeans-3,k3, -0.00,  0.87,       ----------  * |------             
 0,               kmeans-3,k1, -0.00,  0.72,      ----------   *-|-------            
 0,                     RS,RR, -0.00,  0.10,                 --*-|                   
 0,                    non,RR, -0.00,  0.11,                 --*-|                   
 0,               kmeans-5,k3, -0.00,  0.68,         --------- * |-----              
 0,                     RS,LR, -0.00,  0.10,                 --*-|                   
 0,               kmeans-5,k5, -0.00,  0.45,              -----*-|--                 
 0,                     DS,RR,  0.01,  0.11,                 --*-|                   
 0,                   non,LSR,  0.01,  0.13,                  -*-|                   
 0,                    RS,LSR,  0.01,  0.18,                 --*-|                   
 0,                    DS,LSR,  0.01,  0.16,                 --*-|                   
 0,                   DS,asIs, -0.07,  0.69,                -- * |-                  
 0,                   RS,asIs, -0.08,  0.63,             ----  *-|-                  
 0,                  non,asIs, -0.09,  0.74,             ----  *-|-                  


 ++ Standard Residual with abs:
#
 0,                   DS,LGBM,  0.01,  0.06, *                   |                   
 0,                   RS,LGBM,  0.02,  0.06, *                   |                   
 0,                  non,LGBM,  0.02,  0.06, *                   |                   
#
 1,                    RS,SVR,  0.04,  0.20, *----               |                   
 1,                    DS,SVR,  0.05,  0.24, *--------           |                   
#
 2,                    non,RR,  0.07,  0.38, *  ---              |                   
 2,                   non,SVR,  0.07,  0.28, * -------           |                   
 2,                     DS,RR,  0.07,  0.36, * -----             |                   
 2,                    non,LR,  0.07,  0.32, * ---               |                   
#
 3,                     DS,LR,  0.08,  0.37, * ----              |                   
 3,                    RS,LSR,  0.09,  0.39, *  ---              |                   
 3,                   non,LSR,  0.09,  0.39, *  ---              |                   
 3,                     RS,LR,  0.09,  0.41, *  ---              |                   
 3,                     RS,RR,  0.10,  0.40, *  ----             |                   
 3,                    DS,LSR,  0.11,  0.42, *  -----            |                   
#
 4,               kmeans-5,k5,  0.31,  0.77,   *   ----------    |                   
 4,                   RS,asIs,  0.41,  0.57, - *  ------         |                   
 4,                   DS,asIs,  0.43,  0.47, -- * -------        |                   
 4,                  non,asIs,  0.46,  0.62, -  *  -------       |                   
 4,               kmeans-1,k1,  0.67,  1.91,     *         ------|---                
#
 5,               kmeans-3,k3,  0.71,  1.35, -    *     ---------|---                
 5,               kmeans-3,k1,  0.72,  2.00,      *         -----|--                 
 5,               kmeans-5,k3,  0.72,  1.61, -    *       -------|--                 
 5,               kmeans-5,k1,  0.74,  2.12,      *         -----|---                


 ++ d2h differences:
#
 0,                   DS,LGBM,  0.00,  0.00, *                   |                   
 0,                  non,LGBM,  0.00,  0.00, *                   |                   
 0,                   RS,LGBM,  0.00,  0.00, *                   |                   
 0,                   non,SVR,  0.00,  0.00, *                   |                   
 0,                    RS,SVR,  0.00,  0.00, *                   |                   
 0,                    DS,SVR,  0.00,  0.00, *                   |                   
 0,                    RS,LSR,  0.00,  0.00, *                   |                   
 0,                    DS,LSR,  0.00,  0.00, *                   |                   
 0,                     DS,LR,  0.00,  0.00, *                   |                   
 0,                   non,LSR,  0.00,  0.00, *                   |                   
 0,                    non,LR,  0.00,  0.00, *                   |                   
 0,                    non,RR,  0.00,  0.00, *                   |                   
 0,                     DS,RR,  0.00,  0.00, *                   |                   
 0,                     RS,LR,  0.00,  0.00, *                   |                   
 0,                     RS,RR,  0.00,  0.00, *                   |                   
#
 1,                   DS,asIs,  0.14,  0.14,  --   *  -------    |                   
 1,                  non,asIs,  0.15,  0.14,  --   *  -------    |                   
 1,                   RS,asIs,  0.16,  0.15,  ---   *  -------   |                   
 1,               kmeans-5,k5,  0.16,  0.17,  --    *   ---------|                   
#
 2,               kmeans-3,k3,  0.19,  0.28,  ---    *       ----|-----              
 2,               kmeans-3,k1,  0.20,  0.40,  ----   *           | ---------         
 2,               kmeans-5,k3,  0.20,  0.34,  ---    *          -|----------         
 2,               kmeans-5,k1,  0.23,  0.37,  ----     *         | --------          
 2,               kmeans-1,k1,  0.23,  0.38,  ----     *         |---------          
