 ++ Standard Residual without abs:
#
 3,                     RS,LR,  0.45,  0.49, -- *  ----          |                   
#
 4,                   DS2,SVR,  0.63,  0.57,  --  *  ------      |                   
 4,                    DS,SVR,  0.64,  0.64,  --  *  -------     |                   
 4,                  non,asIs,  0.70,  0.55,  --  *  ------      |                   
 4,                   RS,asIs,  0.70,  0.70,  --  *   -----      |                   
 4,               kmeans-3,k3,  0.70,  0.82, ---  *    ------    |                   
 4,                    RS,SVR,  0.70,  0.67,  --  *   ------     |                   
 4,                   DS,asIs,  0.71,  0.58,  ---  *  ------     |                   
 4,                   DS,LGBM,  0.72,  0.56,  --   * ------      |                   
 4,                   RS,LGBM,  0.72,  0.53,  ---  * --------    |                   
#
 5,                  DS2,asIs,  0.77,  0.64,  ---  *  ------     |                   
 5,                  DS2,LGBM,  0.77,  0.60,  ---  *  -----      |                   
 5,               kmeans-5,k3,  0.79,  0.79, ---   *   --------  |                   
#
 6,               kmeans-5,k5,  0.87,  0.87, ---    *   ------   |                   
 6,               kmeans-5,k1,  0.94,  0.79, ---     * ----------|                   
 6,               kmeans-3,k1,  1.02,  0.85, ---     * ----------|                   
 6,               kmeans-1,k1,  1.20,  0.81, ----      *---------|                   


 ++ d2h differences:
#
 0,                  non,LGBM,  0.00,  0.00, *                   |                   
 0,                   non,LSR,  0.00,  0.01, *                   |                   
 0,                    non,LR,  0.01,  0.00, *                   |                   
 0,                    non,RR,  0.01,  0.01, *                   |                   
 0,                    RS,LSR,  0.01,  0.01, *                   |                   
 0,                    DS2,LR,  0.01,  0.01, *                   |                   
 0,                     DS,LR,  0.01,  0.01, *                   |                   
 0,                    DS,LSR,  0.01,  0.01, *                   |                   
 0,                     RS,LR,  0.01,  0.01, *                   |                   
 0,                     RS,RR,  0.01,  0.01, *                   |                   
 0,                    DS2,RR,  0.01,  0.01, *                   |                   
 0,                   DS2,LSR,  0.01,  0.01, *                   |                   
 0,                     DS,RR,  0.01,  0.01, *                   |                   
 0,                   non,SVR,  0.01,  0.01, *                   |                   
 0,                    RS,SVR,  0.01,  0.01, *                   |                   
 0,                    DS,SVR,  0.01,  0.01, *-                  |                   
 0,                   DS2,SVR,  0.01,  0.01, *-                  |                   
 0,                   RS,LGBM,  0.01,  0.02, *-                  |                   
 0,                   DS,LGBM,  0.01,  0.01, *-                  |                   
