#
 0,                      LGBM, -0.01,  0.08,      -*             |                   
 0,                        LR,  0.01,  0.42,     - *-            |                   
#
 1,                        k1,  0.06,  0.28,        *----        |                   
#
 2,                        k3,  0.10,  0.54,        * ----       |                   
 2,                        k5,  0.13,  0.59,        * ----       |                   
#
 3,                      asIs,  0.22,  0.60,        * -----      |                   
 3,                  mid-leaf,  0.34,  0.67,       - *---        |                   
