#
 0,                      asIs, -0.30,  0.59,                     |       *           
 0,                  mid-leaf, -0.27,  0.63,                     |       *           
#
 1,                      LGBM, -0.07,  0.53,                     |       *           
#
 2,                        k5,  0.00,  0.36,                     |       *           
 2,                        LR,  0.01,  0.79,                     |       *           
 2,                        k3,  0.01,  0.40,                     |       *           
#
 3,                        k1,  0.04,  0.40,                     |       *           
