#
 0,                        LR, 0, -0.00,  0.11,                     *                   
 0,                      LGBM, 0, -0.00,  0.02,                     *                   
#
 1,                        k1, 0,  0.02,  0.13,                     *---------------    
#
 2,                        k3, 0,  0.05,  0.21,                     *------------       
#
 3,                        k5, 0,  0.09,  0.28,                     * -----------       
#
 4,                  mid-leaf, 0,  0.31,  0.45,                     | * -----------     
#
 5,                      asIs, 0,  0.62,  0.24,                     |---* -------       
