#
 0,                        LR, -0.00,  0.19,               - *   |                   
 0,                      LGBM,  0.00,  0.72,          ----   * --|                   
#
 1,                        k5,  0.23,  0.33,                  *--|-                  
 1,                        k3,  0.24,  0.33,                  *--|                   
#
 2,                        k1,  0.31,  0.32,                  *--|-                  
#
 3,                  mid-leaf,  0.60,  0.67,                 -- *| ----              
#
 4,                      asIs,  0.78,  0.58,                  -  * ---               
