#
 0,                  mid-leaf, -0.10,  0.94,             ---   * |---                
 0,                      LGBM, -0.01,  0.31,                 --*-|                   
#
 1,                        k1,  0.02,  0.48,              ----- *|----               
 1,                      asIs,  0.05,  0.87,              ---   *|----               
 1,                        LR,  0.07,  0.89,              ---   *|--                 
 1,                        k3,  0.07,  0.62,              ----- *|---                
 1,                        k5,  0.11,  0.75,              ----  *|----               
