#
 0,                      asIs, -0.41,  1.48,             --  *   |   ------          
 0,                  mid-leaf, -0.28,  1.10,           ----   *  | -------           
#
 1,                        k5, -0.08,  0.43,               ---  *|---                
 1,                        k1, -0.06,  0.44,             -----  *|---                
 1,                        k3, -0.06,  0.44,              ----  *|---                
 1,                        LR, -0.01,  0.62,                --  *| --                
 1,                      LGBM, -0.00,  0.13,                   -*|                   
