#
 0,                      LGBM, 0, -0.04,  0.41,      - * -          |                   
 0,                        LR, 0, -0.02,  0.51,    --- * -          |                   
#
 1,                        k1, 0,  0.11,  0.39,         * -----     |                   
#
 2,                    k1-syn,30,  0.21,  0.72,        - * -----    |                   
 2,                        k3, 0,  0.22,  0.62,        - * -----    |                   
 2,                        k5, 0,  0.25,  0.72,        - * -----    |                   
#
 3,                    k3-syn,30,  0.31,  0.73,        - *  ----    |                   
 3,                    k5-syn,30,  0.33,  0.73,        - *  ----    |                   
#
 4,                  mid-leaf, 0,  0.46,  0.47,         - * -----   |                   
#
 5,              mid-leaf-syn,30,  0.54,  0.54,         - * ------  |                   
 5,                      asIs, 0,  0.54,  0.64,         - * ----    |                   
