#
 0,                        LR, 0, -0.13,  0.44,    --*--            |                   
 0,                      LGBM, 0, -0.12,  0.51,    - *--            |                   
#
 1,                        k5, 0,  0.27,  0.39,       *--           |                   
 1,                        k3, 0,  0.28,  0.42,       *--           |                   
 1,                    k5-syn,30,  0.30,  0.41,       *--           |                   
 1,                    k3-syn,30,  0.31,  0.49,       *--           |                   
 1,                        k1, 0,  0.32,  0.58,       *--           |                   
 1,                    k1-syn,30,  0.32,  0.58,       *---          |                   
#
 2,                  mid-leaf, 0,  0.40,  0.39,        *-           |                   
 2,                      asIs, 0,  0.45,  0.37,        *            |                   
#
 3,              mid-leaf-syn,30,  0.52,  0.40,        *-           |                   
