#
 0,                      LGBM, 0, -0.01,  0.08,       -*            |                   
 0,                        LR, 0, -0.00,  0.41,     -- *-           |                   
#
 1,                        k1, 0,  0.07,  0.37,        * ---        |                   
#
 2,                    k1-syn,30,  0.12,  0.55,         *-----      |                   
 2,                        k3, 0,  0.12,  0.58,         * ---       |                   
 2,                        k5, 0,  0.14,  0.51,         *----       |                   
#
 3,                    k3-syn,30,  0.20,  0.73,         * ----      |                   
 3,                    k5-syn,30,  0.23,  0.72,         * ----      |                   
 3,                      asIs, 0,  0.28,  0.64,         * ----      |                   
 3,              mid-leaf-syn,30,  0.32,  0.64,         * ----      |                   
 3,                  mid-leaf, 0,  0.36,  0.71,          *---       |                   
