#
 0,                        LR, 0, -0.19,  0.89,   - *--             |                   
 0,                      LGBM, 0, -0.12,  0.88,   - *--             |                   
#
 1,                    k5-syn,30,  0.55,  0.53,     - *-            |                   
 1,                    k3-syn,30,  0.55,  0.55,     - *-            |                   
 1,                        k3, 0,  0.56,  0.60,     - *-            |                   
 1,                        k5, 0,  0.57,  0.58,     - *-            |                   
#
 2,                  mid-leaf, 0,  0.65,  0.58,       *-            |                   
 2,                        k1, 0,  0.67,  0.72,     - *--           |                   
 2,              mid-leaf-syn,30,  0.68,  0.62,       *-            |                   
 2,                    k1-syn,30,  0.68,  0.70,     - *--           |                   
 2,                      asIs, 0,  0.70,  0.65,       *-            |                   
