#
 0,                        LR, 0,  0.00,  0.00,                *    |                   
 0,                      LGBM, 0,  0.00,  0.11,               -*-   |                   
#
 1,                        k3, 0,  0.29,  0.43,                 - * |-------            
 1,                        k1, 0,  0.31,  0.44,                 - * |-----------        
 1,                        k5, 0,  0.35,  0.46,                 -  *|------             
 1,                    k1-syn,30,  0.38,  0.44,                 -  *|-----------        
#
 2,                    k3-syn,30,  0.42,  0.60,                 -  *|  ------           
 2,                    k5-syn,30,  0.46,  0.60,                 -   *  ------           
#
 3,                      asIs, 0,  0.85,  0.49,                   --|  * ----           
 3,                  mid-leaf, 0,  0.86,  0.76,                  ---|  *  ----          
 3,              mid-leaf-syn,30,  0.93,  0.70,                  ---|   *  -----        
