#
 0,                      LGBM, 0, -0.03,  0.44,      --- *--        |                   
 0,                        LR, 0,  0.01,  0.55,      --  * --       |                   
#
 1,                        k1, 0,  0.14,  0.59,           *  ------ |                   
#
 2,                    k1-syn,30,  0.22,  0.76,           *   ----- |                   
 2,                        k3, 0,  0.24,  0.77,            *  ----- |                   
 2,                        k5, 0,  0.29,  0.83,            *  ----- |                   
#
 3,                    k5-syn,30,  0.34,  0.82,            *   ---- |                   
 3,                    k3-syn,30,  0.34,  0.79,            *  ----- |                   
 3,                  mid-leaf, 0,  0.36,  0.65,          - *  ----- |                   
 3,              mid-leaf-syn,30,  0.39,  0.65,          - *  ------|                   
#
 4,                      asIs, 0,  0.49,  0.36,           - *-----  |                   
