#
 0,                      LGBM, 0, -0.05,  0.71,        -----   * ---|                   
 0,                        LR, 0, -0.01,  0.19,              - *-   |                   
#
 1,                        k5, 0,  0.23,  0.33,                  *--|                   
 1,                    k5-syn,30,  0.24,  0.31,                - *--|-                  
 1,                        k3, 0,  0.24,  0.31,                  *--|-                  
 1,                    k3-syn,30,  0.25,  0.31,                - *--|-                  
#
 2,                        k1, 0,  0.31,  0.30,                  *--|-                  
 2,                    k1-syn,30,  0.34,  0.30,                   *-|-                  
#
 3,                  mid-leaf, 0,  0.63,  0.64,                 --  * -----             
 3,              mid-leaf-syn,30,  0.66,  0.65,                 --  * -----             
#
 4,                      asIs, 0,  0.76,  0.64,                 --  |* ----             
