#
 0,                      LGBM, 0, -0.00,  0.06,           -*        |                   
 0,                        LR, 0,  0.00,  0.00,           -*        |                   
#
 1,                        k1, 0,  0.28,  0.48,             *---    |                   
 1,                        k3, 0,  0.31,  0.48,             * --    |                   
 1,                    k1-syn,30,  0.34,  0.50,             * ---   |                   
 1,                        k5, 0,  0.34,  0.46,             * --    |                   
 1,                    k3-syn,30,  0.37,  0.46,             * ---   |                   
 1,                    k5-syn,30,  0.37,  0.46,             * ---   |                   
#
 2,              mid-leaf-syn,30,  0.50,  0.65,            - * ---- |                   
#
 3,                  mid-leaf, 0,  0.58,  0.45,            - * ---  |                   
#
 4,                      asIs, 0,  0.63,  0.46,             - *---- |                   
