#
 0,               kmeans-3,k1, -0.00,  0.16,              ------*|----               
 0,               kmeans-5,k1,  0.00,  0.19,               -----*|-----              
 0,               kmeans-1,k1,  0.01,  0.16,               -----*|----               
 0,               kmeans-5,k3, -0.01,  0.45,               ---- *|----               
 0,               kmeans-3,k3, -0.01,  0.43,               ---- *|----               
 0,               kmeans-5,k5, -0.03,  0.58,               ---- *|----               
 0,                  non,asIs, -0.15,  1.19,             ----  * |  ------           
