#
 0,               kmeans-1,k1,  0.00,  0.06,            ----*--- |                   
 0,               kmeans-5,k3,  0.00,  0.10,            ----*--  |                   
 0,               kmeans-3,k1,  0.00,  0.07,            ----*--- |                   
 0,               kmeans-5,k5, -0.00,  0.10,            ----*--  |                   
 0,               kmeans-5,k1, -0.00,  0.08,            ----*--- |                   
 0,               kmeans-3,k3, -0.00,  0.07,            ----*--- |                   
 0,                  non,asIs, -0.02,  0.57,          ----  *----|                   
