#
 0,               kmeans-5,k3, -0.05,  1.07,            ----   * |----               
 0,               kmeans-1,k1,  0.06,  1.09,            -----  * |-----              
 0,                  non,asIs, -0.06,  1.21,            ---   *  |-----              
 0,               kmeans-5,k1,  0.11,  1.20,           ------  * | ------            
 0,               kmeans-3,k1,  0.14,  1.30,          ------    *| ------            
 0,               kmeans-5,k5,  0.14,  1.21,           -----    *|-----              
 0,               kmeans-3,k3, -0.15,  1.15,           ----   *  |----               
