name,"""non-asIs""","""RS-asIs""","""RS-mid-leaf""","""RS-k1""","""RS-k3""","""RS-SVR""","""RS-RR""","""RS-LR""","""RS-k5""","""RS-LSR""","""DS-asIs""","""RS-LGBM""","""DS-mid-leaf""","""DS-k1""","""DS-k3""","""DS-SVR""","""DS-RR""","""DS-LR""","""DS-k5""","""DS-LSR""","""DS-LGBM""","""non-mid-leaf""","""non-k1""","""non-RR""","""non-LSR""","""non-k3""","""non-LR""","""non-k5""","""non-SVR""","""non-LGBM""","""kmeans-mid-leaf""","""kmeans-k1""","""kmeans-k3""","""kmeans-k5"""
Apache_AllMeasurements.csv,0.06,0.96,1.16,2.1,2.21,2.25,2.26,2.3,2.33,2.39,2.86,2.99,3.07,4.03,4.13,4.19,4.22,4.24,4.26,4.29,5.01,5.19,6.29,6.3,6.37,6.37,6.38,6.48,6.9,14.21,17.5,18.02,18.09,18.16
auto93.csv,0.16,2.53,2.9,5.42,5.69,5.73,5.78,5.75,5.99,5.94,7.14,7.35,7.46,10.03,10.3,10.27,10.31,10.28,10.59,10.42,11.84,15.2,18.53,18.15,18.42,18.8,18.23,19.1,34.49,45.26,30.94,33.59,33.73,34.01
healthCloseIsses12mths0001-hard.csv,2.67,139.44,142.39,231.45,239.36,156.16,143.73,143.7,248.1,143.88,241.93,155.81,244.73,328.98,337.01,258.73,246.03,246.0,345.93,246.18,259.8,767.39,921.17,769.95,771.28,928.79,770.62,937.56,17959.66,879.25,,,,
healthCloseIsses12mths0011-easy.csv,3.15,155.54,159.06,262.35,271.32,174.38,160.51,160.52,281.34,160.67,268.4,173.13,271.76,367.36,376.3,287.23,273.15,273.19,386.28,273.33,287.6,909.54,1087.23,912.31,913.68,1095.75,912.97,1106.03,18657.24,1046.65,,,,
HSMGP_num.csv,1.19,64.16,67.67,135.34,141.32,70.83,69.23,69.3,147.81,69.46,171.73,79.23,175.36,236.76,242.22,178.31,176.82,176.91,248.14,177.05,186.18,2041.21,2165.47,2044.19,2050.25,2171.91,2044.87,2179.41,2524.74,2235.06,372.72,758.49,759.59,765.4
nasa93dem.csv,0.15,1.13,1.42,2.01,2.12,7.99,7.73,6.96,2.21,9.88,2.79,12.56,3.07,3.7,3.81,10.03,9.85,9.0,3.91,12.44,19.25,5.91,7.81,14.23,20.98,7.97,13.71,8.06,15.23,85.26,,,,
pom3a.csv,4.99,419.26,427.31,715.14,742.04,442.28,426.6,426.55,770.97,426.62,809.17,462.13,816.99,1091.98,1119.17,833.78,816.22,816.18,1148.1,816.27,873.83,2559.64,2888.13,2561.96,2563.74,2911.92,2562.46,2940.41,29588.57,2813.8,,,,
pom3b.csv,5.37,413.37,421.58,704.33,730.76,438.4,420.67,420.58,759.23,420.65,812.28,442.6,820.57,1095.98,1122.98,839.47,819.7,819.68,1152.4,819.72,849.05,2730.85,3074.77,2733.23,2734.74,3100.34,2733.81,3130.93,37472.39,3004.01,,,,
pom3c.csv,4.6,393.49,400.93,668.83,693.35,414.08,400.24,400.19,720.22,400.27,750.66,420.44,758.04,1011.93,1036.72,772.58,757.43,757.38,1063.4,757.45,794.53,2406.9,2711.47,2409.33,2411.09,2733.46,2409.95,2760.04,26542.58,2613.75,,,,
pom3d.csv,0.19,4.61,5.32,11.68,12.32,7.8,7.87,7.92,12.99,7.91,17.98,9.64,18.68,25.02,25.67,21.15,21.23,21.3,26.34,21.27,23.49,35.21,42.26,37.87,37.89,42.9,37.96,43.57,65.9,83.51,65.74,72.77,73.28,73.92
rs-6d-c3_obj1.csv,0.5,37.1,38.9,77.64,80.95,40.21,39.48,39.57,84.52,39.52,97.36,42.14,98.96,131.54,134.83,100.29,99.55,99.66,138.4,99.58,102.44,266.17,323.33,267.01,267.11,326.38,267.15,329.86,456.9,301.35,331.75,824.74,824.43,829.4
rs-6d-c3_obj2.csv,0.51,36.79,38.56,77.56,80.89,39.91,39.14,39.22,84.4,39.17,96.61,41.95,98.2,130.54,133.86,99.54,98.79,98.88,137.37,98.82,101.59,276.05,336.66,276.86,276.95,339.76,277.02,343.34,519.78,324.36,248.84,617.82,618.54,622.48
sol-6d-c2-obj1.csv,0.37,25.28,26.8,55.26,57.71,27.94,27.48,27.57,60.32,27.51,72.95,29.97,74.28,99.06,101.5,75.44,74.97,75.07,104.1,74.99,77.83,193.39,235.96,194.24,194.33,238.2,194.39,240.78,308.59,224.76,256.68,531.07,532.6,536.61
SQL_AllMeasurements.csv,0.84,72.65,78.24,219.34,227.03,82.16,79.81,79.86,235.27,79.92,236.92,121.37,242.91,356.84,364.56,246.68,244.29,244.34,372.74,244.39,289.17,760.61,1094.36,769.24,766.14,1101.45,772.44,1109.37,2897.86,811.64,,,,
SS-A.csv,0.31,9.41,10.13,20.12,20.93,12.07,11.77,11.82,21.83,11.8,23.17,16.09,23.8,34.24,35.04,25.69,25.39,25.45,35.92,25.44,27.55,62.47,77.83,64.13,64.19,78.66,64.24,79.53,143.81,241.41,88.06,121.56,121.7,123.01
