"non,asIs",0.39
"RS,asIs",7.73
"RS,mid-leaf",8.6
"RS,SVR",12.56
"RS,RR",12.7
"RS,LR",12.74
"RS,LSR",12.78
"RS,LGBM",14.01
"RS,k1",18.85
"RS,k3",19.9
"RS,k5",20.99
"DS,asIs",28.36
"DS,mid-leaf",29.19
"DS,SVR",33.13
"DS,RR",33.3
"DS,LR",33.35
"DS,LSR",33.38
"DS,LGBM",33.71
"DS,k1",39.38
"DS,k3",40.41
"DS,k5",41.49
"kmeans,k1",45.25
"kmeans,k3",46.34
"kmeans,k5",47.52
"non,mid-leaf",55.78
"non,RR",60.14
"non,LSR",60.22
"non,LR",60.26
"non,k1",68.08
"non,k3",68.91
"non,k5",70.05
"non,SVR",107.91
"non,LGBM",132.63
