"non,asIs",0.44
"RS,asIs",10.22
"RS,mid-leaf",11.04
"RS,LR",15.16
"RS,RR",15.43
"RS,SVR",15.81
"RS,LSR",15.91
"RS,LGBM",17.09
"RS,k1",21.39
"RS,k3",22.37
"RS,k5",23.47
"kmeans,k1",25.98
"kmeans,k3",27.03
"kmeans,k5",28.16
"DS,asIs",30.2
"DS,mid-leaf",31.04
"DS,LR",35.12
"DS,RR",35.37
"DS,SVR",35.75
"DS,LSR",35.84
"DS,LGBM",37.1
"DS,k1",40.77
"DS,k3",41.8
"DS,k5",42.89
"non,mid-leaf",68.11
"non,RR",76.01
"non,LR",76.17
"non,LSR",78.24
"non,k1",79.72
"non,k3",80.5
"non,k5",81.56
"non,LGBM",145.96
"non,SVR",343.08
