"non,asIs",1.49
"kmeans,k1",113.09
"kmeans,k3",127.09
"RS,asIs",141.55
"kmeans,k5",141.64
"RS,mid-leaf",152.58
"RS,RR",154.83
"RS,LSR",155.0
"RS,LR",156.31
"RS,SVR",158.61
"RS,k1",440.13
"RS,k3",455.97
"RS,k5",472.55
"DS,asIs",493.12
"DS,mid-leaf",505.15
"DS,RR",507.07
"DS,LSR",507.24
"DS,LR",508.52
"DS,SVR",511.0
"DS,k1",731.29
"DS,k3",747.59
"DS,k5",764.38
"RS,LGBM",908.7
"DS,LGBM",1291.1
"non,mid-leaf",1413.04
"non,LSR",1419.73
"non,RR",1447.74
"non,LR",1618.59
"non,k1",1988.16
"non,k3",2000.25
"non,k5",2014.33
"non,SVR",4597.98
"non,LGBM",6215.31
