"non,asIs",0.22
"RS,asIs",4.51
"RS,mid-leaf",5.07
"RS,RR",6.77
"RS,LR",6.82
"RS,SVR",6.82
"RS,LSR",6.83
"RS,LGBM",8.03
"RS,k1",9.95
"RS,k3",10.38
"RS,k5",10.86
"kmeans,k1",12.88
"DS,asIs",12.95
"kmeans,k3",13.34
"DS,mid-leaf",13.46
"kmeans,k5",13.82
"DS,RR",15.18
"DS,SVR",15.24
"DS,LSR",15.25
"DS,LR",15.26
"DS,LGBM",17.74
"DS,k1",17.85
"DS,k3",18.28
"DS,k5",18.75
"non,mid-leaf",29.48
"non,RR",31.2
"non,LSR",31.31
"non,LR",31.32
"non,k1",37.34
"non,k3",37.55
"non,k5",38.01
"non,SVR",53.86
"non,LGBM",64.7
