#
 0,                   asIs,10, -0.27,  0.51,                    -|* -----            
 0,                   asIs,30, -0.27,  0.51,                    -|* -----            
 0,                   asIs,50, -0.27,  0.51,                    -|* -----            
 0,                   asIs,sq, -0.27,  0.51,                    -|* -----            
#
 1,               mid-leaf,10, -0.16,  0.66,                  ---| * ----            
 1,               mid-leaf,30, -0.16,  0.66,                  ---| * ----            
 1,               mid-leaf,50, -0.16,  0.66,                  ---| * ----            
 1,               mid-leaf,sq, -0.16,  0.66,                  ---| * ----            
#
 2,                      LGBM, -0.00,  0.20,                     |-*-                
 2,                        LR,  0.01,  0.72,                   --| * ---             
 2,                     k1,10,  0.01,  0.24,                    -|-*----             
 2,                     k1,30,  0.01,  0.24,                    -|-*----             
 2,                     k1,50,  0.01,  0.24,                    -|-*----             
 2,                     k1,sq,  0.01,  0.24,                    -|-*----             
 2,                     k3,10,  0.01,  0.29,                    -|-* ---             
 2,                     k3,30,  0.01,  0.29,                    -|-* ---             
 2,                     k3,50,  0.01,  0.29,                    -|-* ---             
 2,                     k3,sq,  0.01,  0.29,                    -|-* ---             
 2,                     k5,10,  0.02,  0.33,                    -|-* ----            
 2,                     k5,30,  0.02,  0.33,                    -|-* ----            
 2,                     k5,50,  0.02,  0.33,                    -|-* ----            
 2,                     k5,sq,  0.02,  0.33,                    -|-* ----            
