#
 0,               mid-leaf,10, -0.16,  1.05,               ----  |* ----             
 0,               mid-leaf,30, -0.16,  1.05,               ----  |* ----             
 0,               mid-leaf,50, -0.16,  1.05,               ----  |* ----             
 0,               mid-leaf,sq, -0.16,  1.05,               ----  |* ----             
 0,                   asIs,10, -0.12,  0.65,                ---- |* ----             
 0,                   asIs,30, -0.12,  0.65,                ---- |* ----             
 0,                   asIs,50, -0.12,  0.65,                ---- |* ----             
 0,                   asIs,sq, -0.12,  0.65,                ---- |* ----             
#
 1,                     k1,10, -0.03,  0.69,           --------- |* ----             
 1,                     k1,30, -0.03,  0.69,           --------- |* ----             
 1,                     k1,50, -0.03,  0.69,           --------- |* ----             
 1,                     k1,sq, -0.03,  0.69,           --------- |* ----             
 1,                     LGBM,, -0.02,  0.38,                   --|*--                
 1,                     k3,10,  0.01,  0.91,            -------- |* ----             
 1,                     k3,30,  0.01,  0.91,            -------- |* ----             
 1,                     k3,50,  0.01,  0.91,            -------- |* ----             
 1,                     k3,sq,  0.01,  0.91,            -------- |* ----             
#
 2,                     k5,10,  0.06,  0.90,            -------- | *----             
 2,                     k5,30,  0.06,  0.90,            -------- | *----             
 2,                     k5,50,  0.06,  0.90,            -------- | *----             
 2,                     k5,sq,  0.06,  0.90,            -------- | *----             
 2,                       LR,,  0.07,  0.82,                 --- | *---              
